'sample interval','PLETH','V'
187695,-0.14250000,0.00459137
187696,-0.16650000,0.02938476
187697,-0.18550000,0.04866850
187698,-0.20450000,0.06244261
187699,-0.22050000,0.07346189
187700,-0.23950000,0.07897153
187701,-0.25250000,0.08356290
187702,-0.26600000,0.08631772
187703,-0.27950000,0.08631772
187704,-0.29550000,0.08999082
187705,-0.31200000,0.11111111
187706,-0.32550000,0.07897153
187707,-0.33600000,-0.14600551
187708,-0.34950000,-0.61983471
187709,-0.36300000,-1.07162534
187710,-0.37650000,-1.09550046
187711,-0.38700000,-0.70431589
187712,-0.39250000,-0.28282828
187713,-0.40050000,-0.02387511
187714,-0.40850000,0.11294766
187715,-0.41650000,0.17263545
187716,-0.42200000,0.18365473
187717,-0.43000000,0.18732782
187718,-0.43550000,0.18732782
187719,-0.44350000,0.18732782
187720,-0.44900000,0.18640955
187721,-0.45700000,0.17814509
187722,-0.46250000,0.16988062
187723,-0.46750000,0.16712580
187724,-0.47050000,0.16712580
187725,-0.47600000,0.16345271
187726,-0.48100000,0.15059688
187727,-0.48400000,0.14049587
187728,-0.48900000,0.12947658
187729,-0.48900000,0.11753903
187730,-0.48900000,0.10927456
187731,-0.48400000,0.10009183
187732,-0.47600000,0.08999082
187733,-0.45950000,0.07621671
187734,-0.43550000,0.06244261
187735,-0.40300000,0.04407713
187736,-0.36750000,0.03213958
187737,-0.31800000,0.02662994
187738,-0.25800000,0.02571166
187739,-0.19450000,0.02571166
187740,-0.12350000,0.02571166
187741,-0.05200000,0.02571166
187742,0.01900000,0.02571166
187743,0.09600000,0.02571166
187744,0.16450000,0.02571166
187745,0.22750000,0.03213958
187746,0.28500000,0.03581267
187747,0.34250000,0.04315886
187748,0.38950000,0.04683196
187749,0.43050000,0.04591368
187750,0.46600000,0.04591368
187751,0.49650000,0.04591368
187752,0.52100000,0.05234160
187753,0.53750000,0.06795225
187754,0.54300000,0.08264463
187755,0.54550000,0.08631772
187756,0.53750000,0.08631772
187757,0.52900000,0.08631772
187758,0.50750000,0.08631772
187759,0.48550000,0.08631772
187760,0.45500000,0.08539945
187761,0.42500000,0.07988981
187762,0.38950000,0.07070707
187763,0.34800000,0.06244261
187764,0.31250000,0.05601469
187765,0.27150000,0.04958678
187766,0.22750000,0.04591368
187767,0.18900000,0.04224059
187768,0.15100000,0.03305785
187769,0.11250000,0.02662994
187770,0.07400000,0.02203857
187771,0.03550000,0.00459137
187772,0.00000000,-0.02479339
187773,-0.03000000,-0.04040404
187774,-0.06050000,-0.03673095
187775,-0.09350000,-0.01652893
187776,-0.11800000,0.01285583
187777,-0.14550000,0.03581267
187778,-0.16750000,0.05509642
187779,-0.18400000,0.06519743
187780,-0.20300000,0.06978880
187781,-0.22500000,0.07713499
187782,-0.24150000,0.08631772
187783,-0.25800000,0.08631772
187784,-0.27450000,0.08631772
187785,-0.28500000,0.10009183
187786,-0.30150000,0.12121212
187787,-0.31800000,0.06703398
187788,-0.33200000,-0.21028466
187789,-0.34300000,-0.71166208
187790,-0.35650000,-1.11570248
187791,-0.36750000,-1.04591368
187792,-0.37850000,-0.61707989
187793,-0.38950000,-0.22314050
187794,-0.39750000,0.00826446
187795,-0.40850000,0.13039486
187796,-0.41700000,0.17722681
187797,-0.42800000,0.18640955
187798,-0.43600000,0.18732782
187799,-0.44450000,0.18732782
187800,-0.45550000,0.18732782
187801,-0.46350000,0.18365473
187802,-0.46900000,0.17906336
187803,-0.47450000,0.17355372
187804,-0.48000000,0.17079890
187805,-0.48250000,0.16620753
187806,-0.49350000,0.16069789
187807,-0.49900000,0.15151515
187808,-0.50450000,0.14325069
187809,-0.51300000,0.13590450
187810,-0.51300000,0.12396694
187811,-0.51300000,0.11570248
187812,-0.50750000,0.10376492
187813,-0.49900000,0.08999082
187814,-0.47700000,0.07346189
187815,-0.45000000,0.05601469
187816,-0.41400000,0.04315886
187817,-0.36750000,0.03213958
187818,-0.31250000,0.02662994
187819,-0.24950000,0.02571166
187820,-0.18100000,0.02571166
187821,-0.10950000,0.02571166
187822,-0.03300000,0.02571166
187823,0.04400000,0.02571166
187824,0.11500000,0.02571166
187825,0.18650000,0.03213958
187826,0.24950000,0.03948577
187827,0.31000000,0.04591368
187828,0.35900000,0.04591368
187829,0.40600000,0.04591368
187830,0.44400000,0.04591368
187831,0.47700000,0.04958678
187832,0.50200000,0.05876951
187833,0.52350000,0.06611570
187834,0.54000000,0.07346189
187835,0.54550000,0.08172635
187836,0.54550000,0.08723600
187837,0.54300000,0.08631772
187838,0.53200000,0.08631772
187839,0.51250000,0.08631772
187840,0.49100000,0.08631772
187841,0.46050000,0.08631772
187842,0.42750000,0.08539945
187843,0.38950000,0.07988981
187844,0.34800000,0.07070707
187845,0.30150000,0.06244261
187846,0.25750000,0.05876951
187847,0.21650000,0.05693297
187848,0.17000000,0.04958678
187849,0.12900000,0.03673095
187850,0.08750000,0.02846648
187851,0.04950000,0.01836547
187852,0.01650000,-0.00734619
187853,-0.02200000,-0.03489440
187854,-0.05200000,-0.04040404
187855,-0.08250000,-0.02662994
187856,-0.10950000,0.00000000
187857,-0.13700000,0.02387511
187858,-0.16450000,0.04315886
187859,-0.18650000,0.06244261
187860,-0.20850000,0.07529844
187861,-0.22750000,0.08356290
187862,-0.24700000,0.08356290
187863,-0.26350000,0.08264463
187864,-0.28600000,0.08448118
187865,-0.30000000,0.08999082
187866,-0.31350000,0.11019284
187867,-0.32450000,0.12029385
187868,-0.33850000,-0.01010101
187869,-0.34950000,-0.39853076
187870,-0.36050000,-0.91643710
187871,-0.36850000,-1.15794307
187872,-0.38500000,-0.90909091
187873,-0.39350000,-0.45546373
187874,-0.40450000,-0.11753903
187875,-0.41250000,0.06978880
187876,-0.42350000,0.15610652
187877,-0.42900000,0.18089991
187878,-0.43750000,0.18640955
187879,-0.44850000,0.18732782
187880,-0.45950000,0.18732782
187881,-0.46500000,0.19008264
187882,-0.47600000,0.18457300
187883,-0.47850000,0.17722681
187884,-0.48700000,0.17263545
187885,-0.48950000,0.16804408
187886,-0.49500000,0.16712580
187887,-0.50350000,0.16345271
187888,-0.50600000,0.15702479
187889,-0.50900000,0.14416896
187890,-0.50900000,0.13039486
187891,-0.51150000,0.12304867
187892,-0.50900000,0.11570248
187893,-0.50050000,0.10376492
187894,-0.48950000,0.08999082
187895,-0.46500000,0.07621671
187896,-0.43450000,0.05601469
187897,-0.39350000,0.03856749
187898,-0.34100000,0.02846648
187899,-0.27800000,0.02571166
187900,-0.20900000,0.02571166
187901,-0.13750000,0.02571166
187902,-0.05800000,0.02571166
187903,0.01900000,0.02571166
187904,0.09600000,0.02571166
187905,0.17050000,0.02846648
187906,0.23900000,0.03673095
187907,0.30250000,0.04315886
187908,0.35750000,0.04683196
187909,0.40700000,0.04591368
187910,0.45100000,0.04591368
187911,0.48950000,0.04866850
187912,0.51700000,0.05601469
187913,0.54150000,0.06244261
187914,0.55800000,0.06336088
187915,0.56900000,0.07529844
187916,0.56900000,0.08356290
187917,0.56650000,0.08631772
187918,0.55800000,0.08631772
187919,0.54450000,0.08631772
187920,0.52500000,0.08631772
187921,0.49500000,0.08631772
187922,0.46450000,0.08631772
187923,0.42600000,0.08539945
187924,0.39050000,0.07988981
187925,0.34900000,0.07346189
187926,0.30500000,0.06611570
187927,0.26100000,0.05968779
187928,0.20000000,0.05234160
187929,0.15400000,0.04958678
187930,0.11350000,0.04683196
187931,0.06750000,0.04224059
187932,0.02700000,0.03673095
187933,-0.01350000,0.02846648
187934,-0.05150000,0.01193756
187935,-0.08650000,-0.01836547
187936,-0.12150000,-0.03305785
187937,-0.15150000,-0.02479339
187938,-0.17850000,-0.00642792
187939,-0.20250000,0.02112029
187940,-0.22700000,0.03948577
187941,-0.24850000,0.05601469
187942,-0.27000000,0.06978880
187943,-0.28350000,0.08172635
187944,-0.30000000,0.08723600
187945,-0.31600000,0.08631772
187946,-0.33250000,0.08631772
187947,-0.34600000,0.08723600
187948,-0.36200000,0.10560147
187949,-0.37550000,0.12580349
187950,-0.38900000,0.05876951
187951,-0.40250000,-0.23599633
187952,-0.41600000,-0.74012856
187953,-0.42450000,-1.11753903
187954,-0.43800000,-1.03305785
187955,-0.44850000,-0.60697888
187956,-0.45650000,-0.21028466
187957,-0.46750000,0.01561065
187958,-0.47550000,0.13039486
187959,-0.48650000,0.17447199
187960,-0.48900000,0.18732782
187961,-0.49750000,0.19191919
187962,-0.50550000,0.18824610
187963,-0.51350000,0.18640955
187964,-0.51900000,0.18732782
187965,-0.52150000,0.18640955
187966,-0.52950000,0.17814509
187967,-0.53500000,0.16988062
187968,-0.53800000,0.16712580
187969,-0.54600000,0.16345271
187970,-0.54850000,0.15335170
187971,-0.55400000,0.14784206
187972,-0.55400000,0.14600551
187973,-0.55650000,0.13682277
187974,-0.55400000,0.12672176
187975,-0.54850000,0.11662075
187976,-0.52950000,0.10284665
187977,-0.50800000,0.08999082
187978,-0.47550000,0.07346189
187979,-0.43500000,0.05601469
187980,-0.38350000,0.04315886
187981,-0.32150000,0.03213958
187982,-0.25400000,0.02662994
187983,-0.18350000,0.02571166
187984,-0.10250000,0.02571166
187985,-0.02700000,0.02571166
187986,0.05150000,0.03213958
187987,0.12450000,0.03948577
187988,0.19200000,0.04591368
187989,0.25400000,0.04591368
187990,0.31350000,0.04591368
187991,0.36500000,0.04591368
187992,0.40850000,0.04591368
187993,0.44350000,0.04591368
187994,0.47300000,0.04591368
187995,0.50300000,0.05417815
187996,0.51650000,0.06336088
187997,0.53000000,0.06611570
187998,0.53550000,0.07529844
187999,0.53000000,0.08356290
188000,0.52200000,0.08631772
188001,0.50850000,0.08631772
188002,0.48950000,0.08631772
188003,0.45950000,0.08815427
188004,0.43000000,0.08815427
188005,0.39500000,0.08631772
188006,0.35400000,0.08631772
188007,0.31100000,0.08539945
188008,0.27050000,0.07713499
188009,0.22450000,0.06887052
188010,0.17850000,0.06244261
188011,0.13550000,0.05325987
188012,0.09450000,0.04683196
188013,0.04900000,0.03764922
188014,0.00800000,0.02571166
188015,-0.02400000,0.00459137
188016,-0.05950000,-0.02203857
188017,-0.09200000,-0.03397612
188018,-0.12150000,-0.03030303
188019,-0.15400000,-0.00734619
188020,-0.17850000,0.01928375
188021,-0.20000000,0.04224059
188022,-0.22700000,0.05601469
188023,-0.24600000,0.06978880
188024,-0.26750000,0.07988981
188025,-0.28900000,0.08539945
188026,-0.30550000,0.08631772
188027,-0.32150000,0.08631772
188028,-0.33800000,0.08631772
188029,-0.35400000,0.10284665
188030,-0.37000000,0.12213039
188031,-0.38100000,0.03856749
188032,-0.39450000,-0.27456382
188033,-0.41100000,-0.77318641
188034,-0.41900000,-1.11845730
188035,-0.43250000,-1.00367309
188036,-0.44050000,-0.57759412
188037,-0.45150000,-0.19467401
188038,-0.46200000,0.02754821
188039,-0.47300000,0.13590450
188040,-0.47850000,0.17079890
188041,-0.48650000,0.18273646
188042,-0.49450000,0.19008264
188043,-0.50250000,0.18824610
188044,-0.50550000,0.18732782
188045,-0.51350000,0.18732782
188046,-0.52150000,0.18640955
188047,-0.52450000,0.17814509
188048,-0.53500000,0.16988062
188049,-0.53800000,0.16712580
188050,-0.54850000,0.16712580
188051,-0.55150000,0.16620753
188052,-0.55400000,0.16069789
188053,-0.55950000,0.15059688
188054,-0.55650000,0.14049587
188055,-0.55400000,0.13039486
188056,-0.52750000,0.12304867
188057,-0.51200000,0.11019284
188058,-0.48800000,0.09641873
188059,-0.45150000,0.08264463
188060,-0.41200000,0.06978880
188061,-0.35950000,0.05601469
188062,-0.29650000,0.04683196
188063,-0.23100000,0.03948577
188064,-0.15500000,0.03305785
188065,-0.08150000,0.02662994
188066,-0.00800000,0.02846648
188067,0.06550000,0.03673095
188068,0.13650000,0.04591368
188069,0.20200000,0.04591368
188070,0.26000000,0.04591368
188071,0.31500000,0.04591368
188072,0.35700000,0.04591368
188073,0.40150000,0.04591368
188074,0.43600000,0.04591368
188075,0.45950000,0.04591368
188076,0.48300000,0.04866850
188077,0.49600000,0.05601469
188078,0.50400000,0.06611570
188079,0.50650000,0.07713499
188080,0.50400000,0.08631772
188081,0.49350000,0.08631772
188082,0.48050000,0.08631772
188083,0.45950000,0.08631772
188084,0.43300000,0.08631772
188085,0.40450000,0.08631772
188086,0.36750000,0.08539945
188087,0.33100000,0.07988981
188088,0.28900000,0.07621671
188089,0.24700000,0.06336088
188090,0.20200000,0.05325987
188091,0.15750000,0.04683196
188092,0.11550000,0.04499541
188093,0.07100000,0.03948577
188094,0.03150000,0.03305785
188095,-0.01050000,0.02662994
188096,-0.04700000,0.02112029
188097,-0.08400000,-0.00275482
188098,-0.11300000,-0.03213958
188099,-0.14150000,-0.04132231
188100,-0.16800000,-0.03581267
188101,-0.19700000,-0.01377410
188102,-0.21800000,0.01193756
188103,-0.24150000,0.03489440
188104,-0.25700000,0.05142332
188105,-0.27800000,0.06336088
188106,-0.29650000,0.06611570
188107,-0.31250000,0.07346189
188108,-0.32550000,0.07897153
188109,-0.34400000,0.08080808
188110,-0.35950000,0.08172635
188111,-0.37250000,0.10284665
188112,-0.38850000,0.12396694
188113,-0.39900000,0.02846648
188114,-0.41450000,-0.30486685
188115,-0.42500000,-0.80808081
188116,-0.43850000,-1.13223140
188117,-0.44600000,-0.97979798
188118,-0.45650000,-0.53994490
188119,-0.46700000,-0.16896235
188120,-0.46600000,0.03764922
188121,-0.47650000,0.13590450
188122,-0.48150000,0.17079890
188123,-0.48950000,0.18273646
188124,-0.49950000,0.18824610
188125,-0.50250000,0.18640955
188126,-0.51250000,0.18365473
188127,-0.51550000,0.17998163
188128,-0.52300000,0.17355372
188129,-0.52850000,0.16804408
188130,-0.53100000,0.16712580
188131,-0.53600000,0.16345271
188132,-0.54150000,0.15702479
188133,-0.54150000,0.14784206
188134,-0.54650000,0.14600551
188135,-0.54650000,0.13682277
188136,-0.54900000,0.12672176
188137,-0.54400000,0.11937557
188138,-0.53600000,0.10468320
188139,-0.52050000,0.08999082
188140,-0.49950000,0.08264463
188141,-0.47100000,0.06978880
188142,-0.42700000,0.05601469
188143,-0.37750000,0.04315886
188144,-0.31750000,0.03213958
188145,-0.25000000,0.02662994
188146,-0.17950000,0.02571166
188147,-0.10700000,0.02571166
188148,-0.03150000,0.02571166
188149,0.04150000,0.02571166
188150,0.11450000,0.02846648
188151,0.18200000,0.03673095
188152,0.23900000,0.04315886
188153,0.29400000,0.04683196
188154,0.33800000,0.04224059
188155,0.37950000,0.04040404
188156,0.41600000,0.04040404
188157,0.45000000,0.04040404
188158,0.47050000,0.04591368
188159,0.48650000,0.04866850
188160,0.49650000,0.05968779
188161,0.49650000,0.07621671
188162,0.49150000,0.08356290
188163,0.48350000,0.08631772
188164,0.46300000,0.08631772
188165,0.43950000,0.08631772
188166,0.41100000,0.08631772
188167,0.37950000,0.08539945
188168,0.34300000,0.07988981
188169,0.30400000,0.07346189
188170,0.26250000,0.06611570
188171,0.22350000,0.05968779
188172,0.18450000,0.05050505
188173,0.14300000,0.04591368
188174,0.10150000,0.04499541
188175,0.06500000,0.03764922
188176,0.02600000,0.02938476
188177,-0.01300000,0.02479339
188178,-0.04950000,0.01193756
188179,-0.08350000,-0.01561065
188180,-0.11450000,-0.03764922
188181,-0.14600000,-0.03948577
188182,-0.17450000,-0.02662994
188183,-0.19800000,0.00000000
188184,-0.20950000,0.02479339
188185,-0.23250000,0.04866850
188186,-0.25300000,0.06152433
188187,-0.26550000,0.06611570
188188,-0.28350000,0.06611570
188189,-0.30150000,0.06978880
188190,-0.31150000,0.06703398
188191,-0.32700000,0.07346189
188192,-0.33950000,0.08631772
188193,-0.35000000,0.11478421
188194,-0.36250000,0.09641873
188195,-0.37300000,-0.10192837
188196,-0.38050000,-0.54453627
188197,-0.39100000,-1.01193756
188198,-0.40100000,-1.09917355
188199,-0.40850000,-0.74563820
188200,-0.41900000,-0.32047750
188201,-0.42650000,-0.04775023
188202,-0.43400000,0.09917355
188203,-0.44450000,0.15886134
188204,-0.44950000,0.17447199
188205,-0.46250000,0.18273646
188206,-0.47000000,0.18824610
188207,-0.48000000,0.18365473
188208,-0.48800000,0.17355372
188209,-0.49550000,0.16804408
188210,-0.50300000,0.16712580
188211,-0.51100000,0.16712580
188212,-0.51600000,0.16620753
188213,-0.52100000,0.16069789
188214,-0.52600000,0.15059688
188215,-0.52600000,0.13682277
188216,-0.53150000,0.12672176
188217,-0.53400000,0.12029385
188218,-0.53400000,0.11019284
188219,-0.52600000,0.10009183
188220,-0.52100000,0.09366391
188221,-0.50300000,0.08264463
188222,-0.48000000,0.06336088
188223,-0.44950000,0.04958678
188224,-0.40600000,0.03673095
188225,-0.35750000,0.02846648
188226,-0.29900000,0.02571166
188227,-0.23250000,0.02571166
188228,-0.16350000,0.02571166
188229,-0.09200000,0.02571166
188230,-0.02050000,0.02571166
188231,0.04850000,0.02571166
188232,0.11500000,0.03213958
188233,0.17900000,0.03948577
188234,0.23750000,0.04591368
188235,0.28600000,0.04591368
188236,0.33200000,0.04591368
188237,0.37300000,0.04591368
188238,0.40100000,0.04958678
188239,0.42650000,0.05876951
188240,0.44200000,0.06519743
188241,0.45750000,0.06978880
188242,0.46250000,0.07713499
188243,0.46000000,0.08631772
188244,0.45250000,0.08631772
188245,0.43950000,0.08631772
188246,0.41900000,0.08539945
188247,0.39600000,0.07713499
188248,0.37300000,0.06887052
188249,0.34250000,0.06519743
188250,0.30400000,0.05693297
188251,0.26300000,0.04958678
188252,0.22200000,0.04591368
188253,0.18400000,0.04499541
188254,0.14050000,0.04040404
188255,0.10200000,0.03673095
188256,0.06400000,0.02938476
188257,0.02800000,0.02571166
188258,-0.00750000,0.02479339
188259,-0.04350000,0.01469238
188260,-0.07150000,-0.01285583
188261,-0.09950000,-0.03948577
188262,-0.12800000,-0.04315886
188263,-0.15100000,-0.03030303
188264,-0.17400000,-0.00459137
188265,-0.19400000,0.02295684
188266,-0.21450000,0.04132231
188267,-0.23000000,0.05601469
188268,-0.25050000,0.06611570
188269,-0.26300000,0.07254362
188270,-0.28100000,0.07621671
188271,-0.29400000,0.08356290
188272,-0.30900000,0.08631772
188273,-0.32200000,0.08999082
188274,-0.33200000,0.11202938
188275,-0.34750000,0.10376492
188276,-0.36050000,-0.07070707
188277,-0.36800000,-0.49403122
188278,-0.38050000,-0.97979798
188279,-0.38850000,-1.11294766
188280,-0.39850000,-0.78879706
188281,-0.40650000,-0.35353535
188282,-0.41900000,-0.06795225
188283,-0.42400000,0.08356290
188284,-0.43450000,0.15886134
188285,-0.43950000,0.17722681
188286,-0.44700000,0.18732782
188287,-0.45500000,0.18732782
188288,-0.46000000,0.18732782
188289,-0.46750000,0.18640955
188290,-0.47000000,0.17814509
188291,-0.47500000,0.16988062
188292,-0.48550000,0.16712580
188293,-0.48800000,0.16345271
188294,-0.49300000,0.15702479
188295,-0.49550000,0.14784206
188296,-0.50350000,0.14692378
188297,-0.50350000,0.14325069
188298,-0.50850000,0.13039486
188299,-0.50600000,0.11662075
188300,-0.50350000,0.10284665
188301,-0.49550000,0.08999082
188302,-0.48550000,0.07988981
188303,-0.46250000,0.06978880
188304,-0.43450000,0.05601469
188305,-0.39600000,0.04315886
188306,-0.34500000,0.03213958
188307,-0.29150000,0.02662994
188308,-0.23000000,0.02571166
188309,-0.15850000,0.02571166
188310,-0.08700000,0.02571166
188311,-0.01550000,0.02571166
188312,0.05800000,0.02571166
188313,0.12400000,0.02571166
188314,0.19000000,0.03213958
188315,0.24800000,0.03948577
188316,0.30100000,0.04591368
188317,0.34700000,0.04591368
188318,0.39000000,0.04591368
188319,0.42000000,0.05234160
188320,0.44800000,0.06152433
188321,0.46600000,0.06978880
188322,0.47850000,0.07988981
188323,0.48100000,0.08539945
188324,0.48350000,0.08631772
188325,0.47600000,0.08631772
188326,0.46300000,0.08631772
188327,0.44300000,0.08539945
188328,0.42000000,0.07713499
188329,0.39250000,0.06887052
188330,0.36200000,0.06244261
188331,0.32650000,0.05325987
188332,0.28850000,0.04683196
188333,0.24800000,0.04591368
188334,0.20750000,0.04591368
188335,0.16700000,0.04591368
188336,0.12650000,0.04499541
188337,0.08600000,0.03948577
188338,0.05050000,0.03305785
188339,0.01250000,0.02571166
188340,-0.02000000,0.01193756
188341,-0.05050000,-0.01836547
188342,-0.08100000,-0.03673095
188343,-0.10650000,-0.03856749
188344,-0.13150000,-0.02387511
188345,-0.15450000,0.00367309
188346,-0.17700000,0.03030303
188347,-0.19500000,0.04866850
188348,-0.21500000,0.06152433
188349,-0.23050000,0.06978880
188350,-0.24800000,0.07621671
188351,-0.26300000,0.08356290
188352,-0.27350000,0.08539945
188353,-0.28600000,0.07988981
188354,-0.30100000,0.08723600
188355,-0.31150000,0.11478421
188356,-0.32400000,0.10284665
188357,-0.33150000,-0.08815427
188358,-0.34400000,-0.53535354
188359,-0.35450000,-1.01469238
188360,-0.36450000,-1.10927456
188361,-0.37200000,-0.75665748
188362,-0.38200000,-0.32323232
188363,-0.39000000,-0.04683196
188364,-0.40000000,0.10009183
188365,-0.40500000,0.16161616
188366,-0.41250000,0.18089991
188367,-0.41750000,0.18640955
188368,-0.42500000,0.18732782
188369,-0.43050000,0.18732782
188370,-0.43550000,0.18365473
188371,-0.44300000,0.17722681
188372,-0.44300000,0.16988062
188373,-0.44800000,0.16712580
188374,-0.45300000,0.16712580
188375,-0.45800000,0.16345271
188376,-0.46300000,0.15059688
188377,-0.46550000,0.14049587
188378,-0.47050000,0.12947658
188379,-0.47300000,0.12029385
188380,-0.47550000,0.11019284
188381,-0.47550000,0.09733701
188382,-0.47300000,0.08631772
188383,-0.46300000,0.07988981
188384,-0.44500000,0.06703398
