'sample interval','PLETH ','II '
112697,-0.29250000,0.32946486
112698,-0.27600000,0.33333333
112699,-0.25450000,0.32946486
112700,-0.23050000,0.32946486
112701,-0.20100000,0.30109607
112702,-0.16150000,0.29400387
112703,-0.11450000,0.27659574
112704,-0.05450000,0.26950355
112705,0.01650000,0.25145068
112706,0.09700000,0.22695035
112707,0.18500000,0.21985816
112708,0.27400000,0.19535783
112709,0.36450000,0.17408124
112710,0.45350000,0.16376531
112711,0.53750000,0.14571244
112712,0.61400000,0.15989684
112713,0.68550000,0.17408124
112714,0.74750000,0.17794971
112715,0.80100000,0.18117344
112716,0.84700000,0.18826564
112717,0.88250000,0.14958092
112718,0.91050000,0.12121212
112719,0.93350000,0.08897485
112720,0.94750000,0.07865893
112721,0.95250000,0.06060606
112722,0.95250000,0.04319794
112723,0.94400000,0.04642166
112724,0.92750000,0.04642166
112725,0.90450000,0.04642166
112726,0.87650000,0.02192134
112727,0.84700000,0.03223727
112728,0.81750000,0.04319794
112729,0.79250000,0.06769826
112730,0.76800000,0.04319794
112731,0.75000000,0.05351386
112732,0.73500000,0.06447453
112733,0.72100000,0.04642166
112734,0.70800000,0.03610574
112735,0.69300000,0.04642166
112736,0.67400000,0.04319794
112737,0.64950000,0.05029014
112738,0.62300000,0.02514507
112739,0.59250000,0.03610574
112740,0.56200000,-0.00902643
112741,0.53400000,-0.15087041
112742,0.50450000,-0.26047711
112743,0.47500000,-0.40167634
112744,0.41000000,-0.49709865
112745,0.38300000,-0.50096712
112746,0.35500000,-0.49000645
112747,0.32700000,-0.45132173
112748,0.29800000,-0.43713733
112749,0.26850000,-0.42295293
112750,0.24050000,-0.37395229
112751,0.21400000,-0.29916183
112752,0.18700000,-0.15796260
112753,0.16400000,-0.04448743
112754,0.13850000,0.01869761
112755,0.11600000,0.05738233
112756,0.09050000,0.12443585
112757,0.06350000,0.19535783
112758,0.03450000,0.25145068
112759,0.00500000,0.28368794
112760,-0.02700000,0.29078014
112761,-0.05850000,0.29787234
112762,-0.08800000,0.31205674
112763,-0.11600000,0.31914894
112764,-0.14250000,0.34042553
112765,-0.16700000,0.35783366
112766,-0.18600000,0.35783366
112767,-0.20250000,0.36879433
112768,-0.21550000,0.36879433
112769,-0.22400000,0.36170213
112770,-0.23200000,0.35460993
112771,-0.23450000,0.35460993
112772,-0.23700000,0.35460993
112773,-0.23550000,0.31914894
112774,-0.23300000,0.29787234
112775,-0.22800000,0.28368794
112776,-0.22300000,0.24435848
112777,-0.21300000,0.24822695
112778,-0.19900000,0.23404255
112779,-0.17950000,0.23017408
112780,-0.15050000,0.20567376
112781,-0.11750000,0.17408124
112782,-0.07500000,0.16698904
112783,-0.02950000,0.13152805
112784,0.01900000,0.11025145
112785,0.06750000,0.09993553
112786,0.11200000,0.08575113
112787,0.14750000,0.08575113
112788,0.17300000,0.08575113
112789,0.18850000,0.08575113
112790,0.18850000,0.07865893
112791,0.17700000,0.07156673
112792,0.14900000,0.05738233
112793,0.10950000,0.01482914
112794,0.05700000,-0.09090909
112795,-0.00650000,-0.22823985
112796,-0.07500000,-0.36299162
112797,-0.14800000,-0.49000645
112798,-0.22300000,-0.52224371
112799,-0.29450000,-0.49709865
112800,-0.35900000,-0.48678272
112801,-0.41650000,-0.47259832
112802,-0.46250000,-0.47969052
112803,-0.49800000,-0.44422953
112804,-0.52100000,-0.38039974
112805,-0.53600000,-0.27466151
112806,-0.54250000,-0.15473888
112807,-0.54500000,-0.06254030
112808,-0.53900000,-0.00580271
112809,-0.52850000,0.04319794
112810,-0.51600000,0.13539652
112811,-0.50200000,0.20567376
112812,-0.48550000,0.23726628
112813,-0.46600000,0.25531915
112814,-0.44700000,0.26950355
112815,-0.42650000,0.28368794
112816,-0.40750000,0.28691167
112817,-0.38600000,0.29787234
112818,-0.36450000,0.30496454
112819,-0.34250000,0.31914894
112820,-0.31950000,0.31914894
112821,-0.29800000,0.32237266
112822,-0.27750000,0.31914894
112823,-0.26000000,0.30818827
112824,-0.24350000,0.29787234
112825,-0.23200000,0.29400387
112826,-0.22400000,0.28691167
112827,-0.22050000,0.26950355
112828,-0.21800000,0.25531915
112829,-0.21900000,0.23726628
112830,-0.21650000,0.22308188
112831,-0.21400000,0.20245003
112832,-0.21000000,0.17085751
112833,-0.19900000,0.15280464
112834,-0.18350000,0.13539652
112835,-0.16450000,0.12443585
112836,-0.14550000,0.11734365
112837,-0.12350000,0.09606705
112838,-0.10450000,0.07479046
112839,-0.08800000,0.07156673
112840,-0.07650000,0.07156673
112841,-0.06900000,0.07156673
112842,-0.06500000,0.05738233
112843,-0.06400000,0.07479046
112844,-0.06650000,0.08575113
112845,-0.07400000,0.08575113
112846,-0.08400000,0.10315925
112847,-0.09800000,0.09284333
112848,-0.11600000,0.07479046
112849,-0.14150000,0.06447453
112850,-0.17050000,0.03932946
112851,-0.20650000,0.01482914
112852,-0.24600000,0.01482914
112853,-0.28550000,0.02901354
112854,-0.32600000,0.03610574
112855,-0.36700000,0.02514507
112856,-0.40250000,0.03223727
112857,-0.43450000,0.03932946
112858,-0.46500000,0.06769826
112859,-0.49300000,0.04642166
112860,-0.52100000,0.01805287
112861,-0.54900000,0.01482914
112862,-0.57800000,0.01482914
112863,-0.61000000,-0.01289491
112864,-0.63950000,-0.05867182
112865,-0.66850000,-0.07994842
112866,-0.69300000,-0.08381689
112867,-0.71450000,-0.05157963
112868,-0.73250000,-0.02321083
112869,-0.74650000,-0.04448743
112870,-0.75800000,-0.06576402
112871,-0.76650000,-0.04126370
112872,-0.76400000,-0.01611863
112873,-0.77150000,0.00128949
112874,-0.77400000,-0.00902643
112875,-0.77400000,-0.00193424
112876,-0.77150000,0.00128949
112877,-0.76750000,0.00773694
112878,-0.76250000,0.01482914
112879,-0.75600000,0.02192134
112880,-0.74850000,0.04319794
112881,-0.74100000,0.02514507
112882,-0.73850000,0.02901354
112883,-0.74100000,0.04319794
112884,-0.75000000,0.04319794
112885,-0.76250000,0.04319794
112886,-0.78300000,0.04319794
112887,-0.80850000,0.05351386
112888,-0.83900000,0.06060606
112889,-0.87700000,0.04642166
112890,-0.92050000,0.04319794
112891,-0.96500000,0.05029014
112892,-1.01350000,0.04319794
112893,-,0.05029014
112894,-,0.05351386
112895,-,0.04319794
112896,-,0.04319794
112897,-,0.04319794
112898,-,0.04319794
112899,-,0.03932946
112900,-,0.04319794
112901,-,0.04319794
112902,-,0.04319794
112903,-0.95350000,0.04642166
112904,-0.86550000,0.04642166
112905,-0.76900000,0.04642166
112906,-0.66700000,0.04642166
112907,-0.56000000,0.04319794
112908,-0.45300000,0.04319794
112909,-0.34750000,0.04319794
112910,-0.24950000,0.05029014
112911,-0.16150000,0.06060606
112912,-0.08400000,0.06447453
112913,-0.02150000,0.06060606
112914,0.02700000,0.05351386
112915,0.06150000,0.04319794
112916,0.08050000,0.05351386
112917,0.08800000,0.05029014
112918,0.08450000,0.05029014
112919,0.07400000,0.06060606
112920,0.05750000,0.06060606
112921,0.03850000,0.06447453
112922,0.01300000,0.07156673
112923,-0.01500000,0.07156673
112924,-0.04450000,0.07865893
112925,-0.07750000,0.07865893
112926,-0.11300000,0.07156673
112927,-0.15150000,0.07865893
112928,-0.18850000,0.08575113
112929,-0.22250000,0.10702772
112930,-0.25300000,0.11411992
112931,-0.28000000,0.13152805
112932,-0.29900000,0.14571244
112933,-0.31050000,0.15667311
112934,-0.31300000,0.15280464
112935,-0.30900000,0.14958092
112936,-0.14400000,0.10702772
112937,-0.12850000,0.08188266
112938,-0.10950000,0.07156673
112939,-0.08800000,0.06447453
112940,-0.06600000,0.05351386
112941,-0.04600000,0.04319794
112942,-0.02400000,0.04319794
112943,-0.00350000,0.04642166
112944,0.01550000,0.05738233
112945,0.02950000,0.06769826
112946,0.04100000,0.07479046
112947,0.04850000,0.08575113
112948,0.05100000,0.09284333
112949,0.04700000,0.08575113
112950,0.04100000,0.08188266
112951,0.02800000,0.07156673
112952,0.00900000,0.07865893
112953,-0.01500000,0.08575113
112954,-0.04700000,0.08188266
112955,-0.08250000,0.09284333
112956,-0.12450000,0.05029014
112957,-0.17300000,-0.08704062
112958,-0.22800000,-0.19664732
112959,-0.28250000,-0.32753063
112960,-0.34250000,-0.41908446
112961,-0.40100000,-0.45132173
112962,-0.45850000,-0.44036106
112963,-0.51200000,-0.40554481
112964,-0.56150000,-0.39136041
112965,-0.59950000,-0.38813669
112966,-0.63050000,-0.33139910
112967,-0.64950000,-0.23920052
112968,-0.65850000,-0.12637008
112969,-0.65550000,-0.01998711
112970,-0.64450000,0.05029014
112971,-0.62650000,0.09284333
112972,-0.60750000,0.16376531
112973,-0.58700000,0.23726628
112974,-0.56800000,0.28691167
112975,-0.55400000,0.32237266
112976,-0.54500000,0.33655706
112977,-0.53850000,0.34042553
112978,-0.53750000,0.34751773
112979,-0.53500000,0.35460993
112980,-0.53350000,0.36170213
112981,-0.52600000,0.36879433
112982,-0.51450000,0.38620245
112983,-0.49800000,0.39716312
112984,-0.47350000,0.39007092
112985,-0.44800000,0.39716312
112986,-0.41500000,0.39716312
112987,-0.38050000,0.39329465
112988,-0.34100000,0.39716312
112989,-0.29800000,0.37201805
112990,-0.25100000,0.37201805
112991,-0.19750000,0.36879433
112992,-0.13750000,0.35074146
112993,-0.07000000,0.32946486
112994,0.00900000,0.31528046
112995,0.09550000,0.29078014
112996,0.19250000,0.28368794
112997,0.29800000,0.25531915
112998,0.41000000,0.24113475
112999,0.52600000,0.22695035
113000,0.64300000,0.21598968
113001,0.75800000,0.20567376
113002,0.86450000,0.20245003
113003,0.96000000,0.21276596
113004,1.02350000,0.21276596
113005,1.02350000,0.21598968
113006,1.02350000,0.22695035
113007,1.02350000,0.22695035
113008,1.02350000,0.22695035
113009,1.02350000,0.23404255
113010,1.02350000,0.20567376
113011,1.02350000,0.16698904
113012,1.02350000,0.13862025
113013,1.02350000,0.12443585
113014,1.02350000,0.11025145
113015,1.02350000,0.09606705
113016,0.97050000,0.08575113
113017,0.91200000,0.09284333
113018,0.84950000,0.08188266
113019,0.79100000,0.07156673
113020,0.73100000,0.08188266
113021,0.67750000,0.09284333
113022,0.62800000,0.08575113
113023,0.58200000,0.08575113
113024,0.54400000,0.08897485
113025,0.51050000,0.09284333
113026,0.48250000,0.09606705
113027,0.46100000,0.08188266
113028,0.44200000,0.09284333
113029,0.42900000,0.08575113
113030,0.41900000,0.08897485
113031,0.40900000,0.08575113
113032,0.40100000,0.01160542
113033,0.39250000,-0.11927789
113034,0.38100000,-0.22501612
113035,0.36800000,-0.36299162
113036,0.35550000,-0.46872985
113037,0.34150000,-0.45132173
113038,0.32500000,-0.43713733
113039,0.30950000,-0.42295293
113040,0.29700000,-0.40876854
113041,0.28400000,-0.37717602
113042,0.27400000,-0.33139910
113043,0.26500000,-0.23533204
113044,0.25750000,-0.10509349
113045,0.25100000,-0.00580271
113046,0.24450000,0.05738233
113047,0.23700000,0.10315925
113048,0.23300000,0.17730496
113049,0.22950000,0.25854288
113050,0.22650000,0.29078014
113051,0.22650000,0.31528046
113052,0.22950000,0.32624113
113053,0.23300000,0.32624113
113054,0.23550000,0.33655706
113055,0.23700000,0.36879433
113056,0.23950000,0.36492585
113057,0.24100000,0.36492585
113058,0.23950000,0.36879433
113059,0.23700000,0.37588652
113060,0.23300000,0.38620245
113061,0.23050000,0.37911025
113062,0.22800000,0.37201805
113063,0.22800000,0.38620245
113064,0.23050000,0.37911025
113065,0.24200000,0.35460993
113066,0.25600000,0.34042553
113067,0.28000000,0.32237266
113068,0.30800000,0.31528046
113069,0.34400000,0.31205674
113070,0.38700000,0.26563507
113071,0.43450000,0.26241135
113072,0.48400000,0.23726628
113073,0.53850000,0.23404255
113074,0.59500000,0.18826564
113075,0.65350000,0.19858156
113076,0.71300000,0.20889749
113077,0.77200000,0.19535783
113078,0.83300000,0.20889749
113079,0.89150000,0.20889749
113080,0.94600000,0.20889749
113081,0.99200000,0.21276596
113082,1.02350000,0.21276596
113083,1.02350000,0.19148936
113084,1.02350000,0.15280464
113085,1.02350000,0.13152805
113086,1.02350000,0.09993553
113087,1.02350000,0.07479046
113088,1.02350000,0.07479046
113089,0.99600000,0.07479046
113090,0.95650000,0.07479046
113091,0.90800000,0.08188266
113092,0.85450000,0.07156673
113093,0.79600000,0.07156673
113094,0.73350000,0.07479046
113095,0.66850000,0.07156673
113096,0.60600000,0.07156673
113097,0.54750000,0.07156673
113098,0.49400000,0.07156673
113099,0.44950000,0.05351386
113100,0.41250000,0.04319794
113101,0.38350000,0.03223727
113102,0.35900000,0.03223727
113103,0.33650000,0.01096067
113104,0.31450000,0.00128949
113105,0.28650000,-0.00902643
113106,0.25200000,-0.08704062
113107,0.21150000,-0.23533204
113108,0.16300000,-0.35912315
113109,0.10850000,-0.50419084
113110,0.04850000,-0.57898130
113111,-0.00750000,-0.56092843
113112,-0.06500000,-0.52546744
113113,-0.11450000,-0.48678272
113114,-0.15900000,-0.47259832
113115,-0.19750000,-0.45132173
113116,-0.23050000,-0.38426821
113117,-0.26100000,-0.26756931
113118,-0.29050000,-0.13668601
113119,-0.32200000,-0.03030303
113120,-0.35650000,0.01160542
113121,-0.39700000,0.06447453
113122,-0.43800000,0.15280464
113123,-0.48400000,0.22308188
113124,-0.52600000,0.26241135
113125,-0.56550000,0.28368794
113126,-0.60250000,0.28691167
113127,-0.63900000,0.29787234
113128,-0.75000000,0.29787234
113129,-0.78950000,0.31528046
113130,-0.83050000,0.32237266
113131,-0.87350000,0.32624113
113132,-0.91700000,0.32624113
113133,-0.95750000,0.32624113
113134,-0.98850000,0.32624113
113135,-1.00350000,0.32624113
113136,-1.00500000,0.32624113
113137,-0.99100000,0.31205674
113138,-0.96000000,0.30109607
113139,-0.92200000,0.31528046
113140,-0.87600000,0.28691167
113141,-0.82800000,0.27272727
113142,-0.77800000,0.26563507
113143,-0.72700000,0.23726628
113144,-0.67650000,0.21985816
113145,-0.62400000,0.19922631
113146,-0.56650000,0.17794971
113147,-0.50200000,0.15280464
113148,-0.42900000,0.15280464
113149,-0.35150000,0.13862025
113150,-0.27000000,0.13152805
113151,-0.19000000,0.14571244
113152,-0.12000000,0.15667311
113153,-0.05850000,0.15667311
113154,-0.01300000,0.15989684
113155,0.01650000,0.16376531
113156,0.03300000,0.15280464
113157,0.03800000,0.13152805
113158,0.02900000,0.11734365
113159,0.01650000,0.07865893
113160,-0.00150000,0.07156673
113161,-0.02300000,0.06769826
113162,-0.04450000,0.05029014
113163,-0.07000000,0.03610574
113164,-0.10200000,0.04319794
113165,-0.14000000,0.05351386
113166,-0.18750000,0.03610574
113167,-0.24350000,0.04642166
113168,-0.30700000,0.07156673
113169,-0.37700000,0.06447453
113170,-0.44950000,0.06447453
113171,-0.52350000,0.06447453
113172,-0.59200000,0.07156673
113173,-0.65200000,0.07156673
113174,-0.70550000,0.05351386
113175,-0.74900000,0.05029014
113176,-0.78300000,0.05351386
113177,-0.80600000,0.05738233
113178,-0.82550000,0.05351386
113179,-0.83800000,0.02192134
113180,-0.85050000,-0.04448743
113181,-0.86200000,-0.15409413
113182,-0.87100000,-0.29916183
113183,-0.88400000,-0.43326886
113184,-0.89550000,-0.47582205
113185,-0.90800000,-0.45454545
113186,-0.91800000,-0.41908446
113187,-0.92450000,-0.39845261
113188,-0.92700000,-0.43004513
113189,-0.92350000,-0.41199226
113190,-0.91450000,-0.34171502
113191,-0.89900000,-0.22501612
113192,-0.88000000,-0.10122502
113193,-0.86100000,-0.01611863
113194,-0.83950000,0.03223727
113195,-0.82150000,0.08188266
113196,-0.80500000,0.16376531
113197,-0.78950000,0.21598968
113198,-0.77550000,0.25145068
113199,-0.76400000,0.27659574
113200,-0.75250000,0.27981947
113201,-0.74250000,0.27659574
113202,-0.72950000,0.28691167
113203,-0.71950000,0.29787234
113204,-0.70800000,0.30818827
113205,-0.69650000,0.31528046
113206,-0.68500000,0.32624113
113207,-0.67250000,0.32624113
113208,-0.65950000,0.32624113
113209,-0.64800000,0.32624113
113210,-0.63700000,0.31528046
113211,-0.62650000,0.30109607
113212,-0.61650000,0.29400387
113213,-0.60500000,0.28368794
113214,-0.58950000,0.27272727
113215,-0.57300000,0.25854288
113216,-0.55000000,0.24822695
113217,-0.51700000,0.23017408
113218,-0.47650000,0.21985816
113219,-0.42150000,0.19535783
113220,-0.35800000,0.17408124
113221,-0.28000000,0.15667311
113222,-0.19500000,0.15667311
113223,-0.10200000,0.14571244
113224,-0.00500000,0.14248872
113225,0.08900000,0.14958092
113226,0.18200000,0.15667311
113227,0.26600000,0.15667311
113228,0.34500000,0.15667311
113229,0.41150000,0.17085751
113230,0.46600000,0.16376531
113231,0.50700000,0.15667311
113232,0.53750000,0.12443585
113233,0.55250000,0.09993553
113234,0.55750000,0.07479046
113235,0.55400000,0.06769826
113236,0.53750000,0.04642166
113237,0.51300000,0.04642166
113238,0.47850000,0.05029014
113239,0.44050000,0.04319794
113240,0.39600000,0.03932946
113241,0.34650000,0.05351386
113242,0.29650000,0.07156673
113243,0.24450000,0.06060606
113244,0.19500000,0.07156673
113245,0.14500000,0.07156673
113246,0.09950000,0.07156673
113247,0.05600000,0.07156673
113248,0.01800000,0.07156673
113249,-0.01550000,0.06447453
113250,-0.04450000,0.07156673
113251,-0.06650000,0.06769826
113252,-0.08300000,0.06769826
113253,-0.09550000,0.05029014
113254,-0.10300000,-0.04448743
113255,-0.10600000,-0.16827853
113256,-0.10700000,-0.28497743
113257,-0.10200000,-0.40554481
113258,-0.09800000,-0.46550613
113259,-0.09200000,-0.46163765
113260,-0.08650000,-0.43326886
113261,-0.08050000,-0.39845261
113262,-0.07650000,-0.39522888
113263,-0.07250000,-0.35976789
113264,-0.07250000,-0.28884591
113265,-0.07250000,-0.19342360
113266,-0.07650000,-0.07672469
113267,-0.08300000,0.01482914
113268,-0.08550000,0.06769826
113269,-0.09050000,0.12443585
113270,-0.09450000,0.20954223
113271,-0.09700000,0.27659574
113272,-0.09800000,0.30818827
113273,-0.09700000,0.32624113
113274,-0.09700000,0.33333333
113275,-0.09550000,0.33655706
113276,-0.09550000,0.34364926
113277,-0.09550000,0.35783366
113278,-0.09450000,0.36879433
113279,-0.09450000,0.37911025
113280,-0.09450000,0.37201805
113281,-0.09450000,0.39007092
113282,-0.09050000,0.38620245
113283,-0.08550000,0.39716312
113284,-0.08150000,0.38297872
113285,-0.07250000,0.37911025
113286,-0.06250000,0.36879433
113287,-0.04700000,0.36879433
113288,-0.02800000,0.35460993
113289,-0.00150000,0.33333333
113290,0.03200000,0.30496454
113291,0.07500000,0.29787234
113292,0.12450000,0.28691167
113293,0.18350000,0.27272727
113294,0.24950000,0.24822695
113295,0.32350000,0.22695035
113296,0.40000000,0.23017408
113297,0.47850000,0.22695035
113298,0.55750000,0.24113475
113299,0.63300000,0.23726628
113300,0.70150000,0.24113475
113301,0.76550000,0.24113475
113302,0.81900000,0.22695035
113303,0.86200000,0.21598968
113304,0.89500000,0.19148936
113305,0.91800000,0.14248872
113306,0.92850000,0.12121212
113307,0.92550000,0.11411992
113308,0.91700000,0.08897485
113309,0.89500000,0.08575113
113310,0.86600000,0.09993553
113311,0.82900000,0.08897485
113312,0.78700000,0.09606705
113313,0.74000000,0.08897485
113314,0.69000000,0.11025145
113315,0.64050000,0.11411992
113316,0.59100000,0.13539652
113317,0.54000000,0.09284333
113318,0.49150000,0.08575113
113319,0.44700000,0.11025145
113320,0.40250000,0.11025145
113321,0.36300000,0.09284333
113322,0.32450000,0.10315925
113323,0.28900000,0.11411992
113324,0.25700000,0.09284333
113325,0.22400000,0.08575113
113326,0.19600000,0.02901354
113327,0.17050000,-0.11927789
113328,0.14500000,-0.22823985
113329,0.12200000,-0.37008382
113330,0.10450000,-0.45841393
113331,0.08800000,-0.44036106
113332,0.07250000,-0.43326886
113333,0.05700000,-0.39522888
113334,0.04600000,-0.37717602
113335,0.03300000,-0.35267569
113336,0.02050000,-0.31721470
113337,0.00750000,-0.22823985
113338,-0.00750000,-0.09413282
113339,-0.02150000,0.00064475
113340,-0.03950000,0.06769826
113341,-0.05500000,0.12121212
113342,-0.07000000,0.18826564
113343,-0.08650000,0.27659574
113344,-0.09950000,0.32237266
113345,-0.11450000,0.34751773
113346,-0.12750000,0.32624113
113347,-0.13750000,0.35460993
113348,-0.14900000,0.36879433
113349,-0.15800000,0.36879433
113350,-0.16700000,0.36879433
113351,-0.17450000,0.37911025
113352,-0.18100000,0.39716312
113353,-0.18600000,0.39716312
113354,-0.19100000,0.40038685
113355,-0.19500000,0.40361057
113356,-0.19500000,0.39716312
113357,-0.19600000,0.39716312
113358,-0.19000000,0.37201805
113359,-0.18350000,0.37588652
113360,-0.17050000,0.36492585
113361,-0.15400000,0.34042553
113362,-0.13100000,0.32624113
113363,-0.10450000,0.31205674
113364,-0.07150000,0.29400387
113365,-0.03050000,0.27659574
113366,0.01500000,0.25531915
113367,0.06750000,0.22695035
113368,0.12450000,0.21985816
113369,0.18600000,0.22695035
113370,0.24850000,0.22695035
113371,0.31200000,0.21276596
113372,0.37200000,0.22695035
113373,0.42900000,0.21985816
113374,0.48000000,0.21598968
113375,0.52350000,0.19858156
113376,0.55750000,0.16376531
113377,0.58050000,0.13152805
113378,0.59350000,0.09993553
113379,0.59450000,0.08575113
113380,0.58700000,0.07479046
113381,0.57050000,0.05738233
113382,0.54600000,0.05029014
