'sample interval','PLETH ','V '
112626,-0.05100000,-0.03820896
112627,-0.08450000,-0.03462687
112628,-0.11550000,-0.03164179
112629,-0.14200000,-0.02507463
112630,-0.16500000,-0.02507463
112631,-0.18650000,-0.03820896
112632,-0.20350000,-0.02507463
112633,-0.22100000,-0.01850746
112634,-0.23450000,-0.02507463
112635,-0.24800000,-0.03164179
112636,-0.25850000,-0.03462687
112637,-0.26650000,-0.02507463
112638,-0.27600000,-0.01492537
112639,-0.28550000,-0.01850746
112640,-0.29200000,-0.03820896
112641,-0.30000000,-0.02805970
112642,-0.30700000,-0.02805970
112643,-0.31250000,-0.02507463
112644,-0.31900000,-0.03164179
112645,-0.32550000,-0.01492537
112646,-0.33100000,-0.02805970
112647,-0.33750000,-0.01850746
112648,-0.34300000,-0.01492537
112649,-0.35000000,-0.00835821
112650,-0.35400000,-0.00537313
112651,-0.36050000,0.00119403
112652,-0.36450000,-0.00835821
112653,-0.37000000,-0.01492537
112654,-0.37500000,-0.01492537
112655,-0.38200000,-0.01850746
112656,-0.39000000,-0.03164179
112657,-0.39650000,-0.03820896
112658,-0.40350000,-0.03164179
112659,-0.40850000,-0.02805970
112660,-0.41700000,-0.02805970
112661,-0.42500000,-0.03462687
112662,-0.43150000,0.00417910
112663,-0.43950000,0.08597015
112664,-0.44600000,0.15820896
112665,-0.45300000,0.18089552
112666,-0.45950000,0.05970149
112667,-0.46650000,-0.24417910
112668,-0.47150000,-0.43402985
112669,-0.47950000,-0.59761194
112670,-0.48400000,-0.51283582
112671,-0.48900000,-0.34567164
112672,-0.49450000,-0.19522388
112673,-0.49850000,-0.05791045
112674,-0.50250000,0.00059701
112675,-0.50650000,0.02328358
112676,-0.51050000,0.04298507
112677,-0.51300000,0.05313433
112678,-0.51600000,0.04955224
112679,-0.52000000,0.04955224
112680,-0.52150000,0.06925373
112681,-0.52250000,0.06626866
112682,-0.52400000,0.05970149
112683,-0.52650000,0.06626866
112684,-0.52650000,0.06626866
112685,-0.52650000,0.07283582
112686,-0.52650000,0.07283582
112687,-0.52400000,0.07582090
112688,-0.50950000,0.07940299
112689,-0.50250000,0.08238806
112690,-0.49200000,0.08895522
112691,-0.47700000,0.10567164
112692,-0.45450000,0.10865672
112693,-0.42900000,0.12537313
112694,-0.39250000,0.13194030
112695,-0.34850000,0.14507463
112696,-0.29600000,0.14149254
112697,-0.23850000,0.14149254
112698,-0.17700000,0.14507463
112699,-0.11150000,0.13492537
112700,-0.04550000,0.12835821
112701,0.02400000,0.11223881
112702,0.08950000,0.10567164
112703,0.15000000,0.08597015
112704,0.20600000,0.07283582
112705,0.26000000,0.05313433
112706,0.30650000,0.02985075
112707,0.34800000,0.00417910
112708,0.38150000,-0.00537313
112709,0.41000000,-0.02507463
112710,0.43550000,-0.03462687
112711,0.45150000,-0.03820896
112712,0.46200000,-0.03820896
112713,0.46900000,-0.03820896
112714,0.46750000,-0.03820896
112715,0.46100000,-0.03820896
112716,0.44750000,-0.02805970
112717,0.43000000,-0.02805970
112718,0.40850000,-0.02507463
112719,0.37900000,-0.03164179
112720,0.34700000,-0.03820896
112721,0.31350000,-0.05134328
112722,0.27450000,-0.04119403
112723,0.23450000,-0.04477612
112724,0.19400000,-0.05134328
112725,0.15150000,-0.05432836
112726,0.11100000,-0.04776119
112727,0.07200000,-0.05134328
112728,0.03350000,-0.05791045
112729,-0.00150000,-0.04776119
112730,-0.03500000,-0.04776119
112731,-0.06600000,-0.04776119
112732,-0.09250000,-0.03820896
112733,-0.11550000,-0.04776119
112734,-0.13950000,-0.04776119
112735,-0.15800000,-0.03820896
112736,-0.17300000,-0.04119403
112737,-0.18750000,-0.04776119
112738,-0.20100000,-0.06089552
112739,-0.21050000,-0.04477612
112740,-0.22000000,-0.03820896
112741,-0.22800000,-0.04477612
112742,-0.23850000,-0.05791045
112743,-0.24550000,-0.04119403
112744,-0.25350000,-0.03820896
112745,-0.26000000,-0.03820896
112746,-0.26550000,-0.03820896
112747,-0.27200000,-0.03820896
112748,-0.28000000,-0.03820896
112749,-0.28700000,-0.03164179
112750,-0.29350000,-0.02805970
112751,-0.30050000,-0.03164179
112752,-0.31100000,-0.02149254
112753,-0.32100000,-0.01194030
112754,-0.33050000,-0.00537313
112755,-0.34050000,-0.01194030
112756,-0.34900000,-0.01492537
112757,-0.35900000,-0.02805970
112758,-0.36900000,-0.03164179
112759,-0.37750000,-0.02507463
112760,-0.38600000,-0.01492537
112761,-0.39300000,-0.03462687
112762,-0.40000000,-0.03820896
112763,-0.40700000,-0.03820896
112764,-0.41400000,-0.03462687
112765,-0.42000000,-0.01850746
112766,-0.42400000,0.02328358
112767,-0.43100000,0.09910448
112768,-0.43650000,0.15820896
112769,-0.44400000,0.15462687
112770,-0.44800000,-0.06089552
112771,-0.45350000,-0.32000000
112772,-0.45800000,-0.49970149
112773,-0.46500000,-0.58149254
112774,-0.46800000,-0.45373134
112775,-0.47050000,-0.27701493
112776,-0.47650000,-0.12656716
112777,-0.48050000,-0.02507463
112778,-0.48350000,0.01014925
112779,-0.48500000,0.03641791
112780,-0.48900000,0.05970149
112781,-0.49200000,0.06268657
112782,-0.49450000,0.05970149
112783,-0.49600000,0.06626866
112784,-0.49900000,0.06925373
112785,-0.49900000,0.07283582
112786,-0.50050000,0.06925373
112787,-0.50200000,0.07940299
112788,-0.50200000,0.07940299
112789,-0.50300000,0.08238806
112790,-0.50200000,0.08238806
112791,-0.50200000,0.08238806
112792,-0.49750000,0.10208955
112793,-0.49050000,0.10567164
112794,-0.47750000,0.10567164
112795,-0.46100000,0.10865672
112796,-0.43400000,0.11880597
112797,-0.40150000,0.13194030
112798,-0.36050000,0.14149254
112799,-0.31100000,0.14507463
112800,-0.25550000,0.15820896
112801,-0.19200000,0.16477612
112802,-0.12550000,0.14805970
112803,-0.05500000,0.14507463
112804,0.01300000,0.14149254
112805,0.08350000,0.13194030
112806,0.14850000,0.11880597
112807,0.21100000,0.09910448
112808,0.26900000,0.08238806
112809,0.32000000,0.05313433
112810,0.36500000,0.03343284
112811,0.40450000,0.01074627
112812,0.43700000,0.00119403
112813,0.46400000,0.00119403
112814,0.48400000,-0.00179104
112815,0.49800000,-0.01194030
112816,0.50500000,-0.00835821
112817,0.50650000,-0.01850746
112818,0.50200000,-0.01194030
112819,0.49250000,-0.00835821
112820,0.47700000,0.00119403
112821,0.45700000,-0.01194030
112822,0.43000000,-0.01194030
112823,0.40050000,-0.00537313
112824,0.36500000,-0.01194030
112825,0.32950000,-0.01492537
112826,0.29150000,-0.02149254
112827,0.25050000,-0.02149254
112828,0.21100000,-0.02149254
112829,0.17150000,-0.02805970
112830,0.13150000,-0.03164179
112831,0.09200000,-0.03462687
112832,0.05250000,-0.03820896
112833,0.01850000,-0.03820896
112834,-0.01400000,-0.03820896
112835,-0.04500000,-0.03820896
112836,-0.07350000,-0.03820896
112837,-0.09900000,-0.03820896
112838,-0.12150000,-0.03820896
112839,-0.14100000,-0.02805970
112840,-0.16100000,-0.03164179
112841,-0.17650000,-0.03820896
112842,-0.18800000,-0.03820896
112843,-0.20050000,-0.03820896
112844,-0.21050000,-0.03820896
112845,-0.21750000,-0.03820896
112846,-0.22600000,-0.03820896
112847,-0.23450000,-0.02805970
112848,-0.24150000,-0.03820896
112849,-0.24850000,-0.03820896
112850,-0.25550000,-0.02507463
112851,-0.26300000,-0.02149254
112852,-0.27150000,-0.02507463
112853,-0.28000000,-0.02507463
112854,-0.28550000,-0.03462687
112855,-0.29400000,-0.01850746
112856,-0.29950000,-0.01194030
112857,-0.30650000,-0.01194030
112858,-0.31350000,-0.01194030
112859,-0.31950000,-0.01194030
112860,-0.32650000,-0.01194030
112861,-0.33350000,-0.02805970
112862,-0.34200000,-0.01492537
112863,-0.34750000,-0.02507463
112864,-0.35450000,-0.02149254
112865,-0.36300000,-0.03820896
112866,-0.37050000,-0.03462687
112867,-0.37600000,-0.03820896
112868,-0.38300000,-0.02149254
112869,-0.39000000,-0.01194030
112870,-0.39700000,0.02029851
112871,-0.40550000,0.08895522
112872,-0.41250000,0.16119403
112873,-0.42000000,0.18746269
112874,-0.42550000,-0.00537313
112875,-0.43250000,-0.27402985
112876,-0.43800000,-0.46388060
112877,-0.44500000,-0.59104478
112878,-0.45100000,-0.47343284
112879,-0.45800000,-0.29671642
112880,-0.45750000,-0.14268657
112881,-0.46200000,-0.01850746
112882,-0.46600000,0.01671642
112883,-0.47050000,0.03641791
112884,-0.47450000,0.04298507
112885,-0.47750000,0.06626866
112886,-0.48050000,0.06626866
112887,-0.48350000,0.06626866
112888,-0.48350000,0.07582090
112889,-0.48450000,0.07582090
112890,-0.48750000,0.06925373
112891,-0.48900000,0.07940299
112892,-0.49050000,0.07940299
112893,-0.49050000,0.07940299
112894,-0.49200000,0.07940299
112895,-0.49050000,0.09253731
112896,-0.48600000,0.09552239
112897,-0.48050000,0.09910448
112898,-0.46750000,0.10865672
112899,-0.45050000,0.11880597
112900,-0.42600000,0.12179104
112901,-0.39300000,0.13194030
112902,-0.35200000,0.13850746
112903,-0.30300000,0.14805970
112904,-0.24750000,0.16119403
112905,-0.18300000,0.16477612
112906,-0.11600000,0.15462687
112907,-0.04450000,0.15462687
112908,0.02550000,0.14507463
112909,0.09550000,0.13492537
112910,0.16300000,0.12835821
112911,0.22750000,0.10865672
112912,0.28750000,0.08597015
112913,0.33900000,0.04955224
112914,0.38450000,0.03641791
112915,0.42450000,0.01014925
112916,0.46050000,0.00119403
112917,0.48600000,0.00119403
112918,0.50600000,-0.00179104
112919,0.52200000,-0.00835821
112920,0.53050000,-0.01194030
112921,0.53300000,-0.01194030
112922,0.52900000,-0.01194030
112923,0.51900000,-0.02149254
112924,0.50200000,-0.01194030
112925,0.48300000,0.00119403
112926,0.45600000,0.00119403
112927,0.42750000,-0.00835821
112928,0.39150000,-0.01194030
112929,0.35300000,-0.01194030
112930,0.31450000,-0.01194030
112931,0.27300000,-0.02149254
112932,0.23300000,-0.02507463
112933,0.18850000,-0.01492537
112934,0.14850000,-0.02805970
112935,0.10850000,-0.02805970
112936,0.07000000,-0.03820896
112937,0.03450000,-0.03820896
112938,0.00150000,-0.03462687
112939,-0.03000000,-0.03462687
112940,-0.06000000,-0.03820896
112941,-0.08450000,-0.02149254
112942,-0.10850000,-0.02507463
112943,-0.12750000,-0.02805970
112944,-0.14450000,-0.03820896
112945,-0.15900000,-0.03164179
112946,-0.17300000,-0.03164179
112947,-0.18600000,-0.03820896
112948,-0.19600000,-0.03462687
112949,-0.20600000,-0.02507463
112950,-0.21450000,-0.03462687
112951,-0.22300000,-0.03164179
112952,-0.23000000,-0.03164179
112953,-0.23600000,-0.02805970
112954,-0.24450000,-0.03164179
112955,-0.25050000,-0.02805970
112956,-0.25750000,-0.02805970
112957,-0.26450000,-0.03820896
112958,-0.27150000,-0.03164179
112959,-0.28050000,-0.01850746
112960,-0.28600000,-0.01194030
112961,-0.29600000,-0.01850746
112962,-0.30150000,-0.02507463
112963,-0.30900000,-0.00537313
112964,-0.31600000,0.00119403
112965,-0.32300000,-0.00835821
112966,-0.33050000,-0.02805970
112967,-0.33900000,-0.02805970
112968,-0.34600000,-0.01194030
112969,-0.35600000,-0.01492537
112970,-0.36300000,-0.01850746
112971,-0.36900000,-0.02507463
112972,-0.37600000,-0.01492537
112973,-0.38300000,-0.01492537
112974,-0.38900000,-0.00179104
112975,-0.39600000,0.04955224
112976,-0.40050000,0.12835821
112977,-0.40300000,0.17791045
112978,-0.41050000,0.14149254
112979,-0.41450000,-0.10985075
112980,-0.42050000,-0.32955224
112981,-0.42450000,-0.54567164
112982,-0.43050000,-0.56537313
112983,-0.43450000,-0.40776119
112984,-0.44050000,-0.24417910
112985,-0.44450000,-0.09373134
112986,-0.44750000,-0.00537313
112987,-0.45050000,0.03343284
112988,-0.45050000,0.04298507
112989,-0.45200000,0.06268657
112990,-0.45350000,0.06626866
112991,-0.45350000,0.06626866
112992,-0.45350000,0.06626866
112993,-0.45050000,0.07582090
112994,-0.45200000,0.07582090
112995,-0.45350000,0.07940299
112996,-0.45350000,0.07582090
112997,-0.45350000,0.07940299
112998,-0.45450000,0.08238806
112999,-0.45600000,0.09552239
113000,-0.45450000,0.10567164
113001,-0.45200000,0.10567164
113002,-0.44350000,0.10567164
113003,-0.43050000,0.11522388
113004,-0.41200000,0.12835821
113005,-0.38750000,0.13492537
113006,-0.35200000,0.14507463
113007,-0.31050000,0.14805970
113008,-0.26450000,0.14805970
113009,-0.20700000,0.15164179
113010,-0.14150000,0.15820896
113011,-0.07400000,0.16477612
113012,-0.00400000,0.15462687
113013,0.06900000,0.14149254
113014,0.13900000,0.12835821
113015,0.20750000,0.11880597
113016,0.27050000,0.10208955
113017,0.32600000,0.07582090
113018,0.37600000,0.04955224
113019,0.42200000,0.02686567
113020,0.46050000,0.01373134
113021,0.49350000,0.00119403
113022,0.51650000,-0.00179104
113023,0.53750000,-0.00835821
113024,0.54900000,-0.00835821
113025,0.55650000,-0.01194030
113026,0.55750000,-0.00835821
113027,0.55350000,-0.00179104
113028,0.54050000,0.00119403
113029,0.52350000,0.00119403
113030,0.50200000,0.00119403
113031,0.47350000,0.00119403
113032,0.44050000,-0.00537313
113033,0.40600000,-0.01850746
113034,0.36450000,-0.02805970
113035,0.32350000,-0.02507463
113036,0.28200000,-0.02805970
113037,0.23750000,-0.02149254
113038,0.19600000,-0.02805970
113039,0.15450000,-0.01850746
113040,0.11300000,-0.02507463
113041,0.07600000,-0.03820896
113042,0.03900000,-0.03820896
113043,0.00600000,-0.03164179
113044,-0.02550000,-0.03820896
113045,-0.05250000,-0.03820896
113046,-0.07850000,-0.03820896
113047,-0.10150000,-0.03164179
113048,-0.12000000,-0.02507463
113049,-0.13850000,-0.02805970
113050,-0.15400000,-0.02805970
113051,-0.16700000,-0.02805970
113052,-0.18150000,-0.02805970
113053,-0.19150000,-0.02507463
113054,-0.20000000,-0.02507463
113055,-0.21000000,-0.02805970
113056,-0.21850000,-0.02507463
113057,-0.22550000,-0.02507463
113058,-0.23150000,-0.01850746
113059,-0.24000000,-0.01492537
113060,-0.24850000,-0.03164179
113061,-0.25600000,-0.03164179
113062,-0.26300000,-0.01850746
113063,-0.27150000,-0.01194030
113064,-0.28000000,-0.01850746
113065,-0.29150000,-0.01194030
113066,-0.29850000,-0.00537313
113067,-0.31000000,0.00119403
113068,-0.32150000,-0.00179104
113069,-0.33000000,-0.01194030
113070,-0.34000000,-0.01194030
113071,-0.34750000,-0.01194030
113072,-0.37100000,-0.00835821
113073,-0.37850000,-0.01194030
113074,-0.38400000,-0.02149254
113075,-0.39100000,-0.02149254
113076,-0.39800000,-0.01850746
113077,-0.40400000,-0.01850746
113078,-0.40950000,-0.01850746
113079,-0.41500000,0.01373134
113080,-0.41800000,0.09253731
113081,-0.42400000,0.17432836
113082,-0.42950000,0.19701493
113083,-0.43250000,0.05313433
113084,-0.43800000,-0.23462687
113085,-0.44200000,-0.42447761
113086,-0.44950000,-0.59761194
113087,-0.45350000,-0.49313433
113088,-0.45800000,-0.32298507
113089,-0.46500000,-0.17552239
113090,-0.47050000,-0.04776119
113091,-0.47650000,0.02328358
113092,-0.48050000,0.04656716
113093,-0.48650000,0.06626866
113094,-0.49050000,0.05611940
113095,-0.49650000,0.06268657
113096,-0.49750000,0.06925373
113097,-0.50200000,0.07940299
113098,-0.50500000,0.07582090
113099,-0.50750000,0.07940299
113100,-0.50750000,0.07940299
113101,-0.50900000,0.07940299
113102,-0.51050000,0.07940299
113103,-0.50900000,0.08597015
113104,-0.50900000,0.09552239
113105,-0.50600000,0.10567164
113106,-0.49750000,0.10567164
113107,-0.48750000,0.10567164
113108,-0.47050000,0.12835821
113109,-0.44500000,0.13194030
113110,-0.41400000,0.13194030
113111,-0.37700000,0.13492537
113112,-0.33000000,0.15164179
113113,-0.27450000,0.14805970
113114,-0.21350000,0.14507463
113115,-0.14650000,0.15462687
113116,-0.07950000,0.16477612
113117,-0.00700000,0.15164179
113118,0.06250000,0.13850746
113119,0.12950000,0.12179104
113120,0.19200000,0.09910448
113121,0.25000000,0.07582090
113122,0.30400000,0.05611940
113123,0.34950000,0.02985075
113124,0.39100000,0.02029851
113125,0.42500000,0.00417910
113126,0.45350000,0.00119403
113127,0.47650000,-0.01194030
113128,0.49200000,-0.01194030
113129,0.50200000,-0.01194030
113130,0.50600000,-0.01194030
113131,0.50450000,-0.01194030
113132,0.49600000,-0.01194030
113133,0.48350000,-0.01194030
113134,0.46500000,-0.01194030
113135,0.44050000,-0.02149254
113136,0.40950000,-0.02507463
113137,0.37800000,-0.02507463
113138,0.34250000,-0.02805970
113139,0.30400000,-0.02507463
113140,0.26300000,-0.03820896
113141,0.22050000,-0.03820896
113142,0.17750000,-0.03820896
113143,0.13500000,-0.03820896
113144,0.09500000,-0.03820896
113145,0.05550000,-0.03820896
113146,0.01700000,-0.04119403
113147,-0.01550000,-0.03820896
113148,-0.04850000,-0.04776119
113149,-0.07400000,-0.03820896
113150,-0.10100000,-0.04776119
113151,-0.12250000,-0.05134328
113152,-0.14200000,-0.05432836
113153,-0.16050000,-0.04477612
113154,-0.17350000,-0.04477612
113155,-0.18750000,-0.05432836
113156,-0.19900000,-0.05791045
113157,-0.20750000,-0.04477612
113158,-0.21750000,-0.03820896
113159,-0.22600000,-0.03820896
113160,-0.23300000,-0.05134328
113161,-0.23900000,-0.05432836
113162,-0.24450000,-0.03820896
113163,-0.25300000,-0.03820896
113164,-0.25900000,-0.03820896
113165,-0.26450000,-0.04119403
113166,-0.26900000,-0.04477612
113167,-0.27600000,-0.03820896
113168,-0.28600000,-0.04119403
113169,-0.29300000,-0.04477612
113170,-0.30000000,-0.02507463
113171,-0.30850000,-0.03462687
113172,-0.31850000,-0.01194030
113173,-0.32850000,0.00119403
113174,-0.33850000,-0.00537313
113175,-0.34850000,-0.03462687
113176,-0.35850000,-0.03820896
113177,-0.36850000,-0.03820896
113178,-0.37700000,-0.03820896
113179,-0.38700000,-0.03820896
113180,-0.39550000,-0.03820896
113181,-0.40400000,-0.04477612
113182,-0.41250000,-0.04776119
113183,-0.42100000,-0.03820896
113184,-0.42800000,-0.03462687
113185,-0.43350000,0.01373134
113186,-0.44100000,0.08597015
113187,-0.44800000,0.12835821
113188,-0.45200000,0.11880597
113189,-0.45650000,-0.08716418
113190,-0.46050000,-0.37552239
113191,-0.46800000,-0.52597015
113192,-0.47200000,-0.61432836
113193,-0.47800000,-0.49014925
113194,-0.48050000,-0.31641791
113195,-0.48750000,-0.14925373
113196,-0.49200000,-0.03462687
113197,-0.49750000,0.00716418
113198,-0.50200000,0.02686567
113199,-0.50600000,0.04656716
113200,-0.51900000,0.05970149
113201,-0.52300000,0.06626866
113202,-0.52450000,0.06626866
113203,-0.52600000,0.07283582
113204,-0.52750000,0.06626866
113205,-0.52750000,0.06626866
113206,-0.52600000,0.07283582
113207,-0.52600000,0.08238806
113208,-0.52300000,0.07940299
113209,-0.52050000,0.07940299
113210,-0.51600000,0.09253731
113211,-0.51050000,0.08895522
113212,-0.49900000,0.09253731
113213,-0.48450000,0.09910448
113214,-0.46450000,0.11522388
113215,-0.43700000,0.12537313
113216,-0.40150000,0.13850746
113217,-0.35850000,0.14507463
113218,-0.30800000,0.14507463
113219,-0.25100000,0.14507463
113220,-0.18900000,0.14507463
113221,-0.12300000,0.15462687
113222,-0.05450000,0.15462687
113223,0.01450000,0.15164179
113224,0.08200000,0.14149254
113225,0.14900000,0.10567164
113226,0.21100000,0.08597015
113227,0.26650000,0.06626866
113228,0.32100000,0.04298507
113229,0.36700000,0.03343284
113230,0.40700000,0.01373134
113231,0.44300000,-0.00179104
113232,0.47150000,-0.01194030
113233,0.49450000,-0.01492537
113234,0.51050000,-0.02149254
113235,0.52050000,-0.02149254
113236,0.52600000,-0.02507463
113237,0.52500000,-0.03820896
113238,0.51900000,-0.03462687
113239,0.50450000,-0.01850746
113240,0.48300000,-0.02805970
113241,0.45900000,-0.02149254
113242,0.42850000,-0.03164179
113243,0.39600000,-0.03820896
113244,0.35700000,-0.03820896
113245,0.31400000,-0.03820896
113246,0.27250000,-0.04477612
113247,0.22800000,-0.03820896
113248,0.18050000,-0.04776119
113249,0.13750000,-0.04119403
113250,0.09350000,-0.03820896
113251,0.05150000,-0.04119403
113252,0.01300000,-0.05134328
113253,-0.02450000,-0.03820896
113254,-0.06150000,-0.04776119
113255,-0.09300000,-0.05134328
113256,-0.12050000,-0.04776119
113257,-0.14600000,-0.05134328
113258,-0.16900000,-0.06089552
113259,-0.18750000,-0.03820896
113260,-0.20500000,-0.04477612
113261,-0.22050000,-0.04119403
113262,-0.23350000,-0.04776119
113263,-0.24350000,-0.04776119
113264,-0.25150000,-0.03820896
113265,-0.26000000,-0.04477612
113266,-0.26600000,-0.03820896
113267,-0.27300000,-0.03820896
113268,-0.27600000,-0.03820896
113269,-0.28000000,-0.05134328
113270,-0.28450000,-0.03820896
113271,-0.28700000,-0.03820896
113272,-0.29300000,-0.03820896
113273,-0.29700000,-0.03820896
113274,-0.30000000,-0.03820896
113275,-0.30850000,-0.03820896
113276,-0.31400000,-0.01850746
113277,-0.32300000,-0.01194030
113278,-0.33000000,-0.01194030
113279,-0.34000000,-0.01194030
113280,-0.34850000,-0.01194030
113281,-0.36100000,-0.02507463
113282,-0.37250000,-0.03820896
113283,-0.38250000,-0.03462687
113284,-0.39550000,-0.02805970
113285,-0.40650000,-0.01850746
113286,-0.41800000,-0.01850746
113287,-0.43100000,-0.02149254
113288,-0.44200000,-0.03164179
113289,-0.45350000,-0.03164179
113290,-0.46350000,-0.03164179
113291,-0.47350000,0.01074627
113292,-0.48350000,0.09253731
113293,-0.49200000,0.13850746
113294,-0.50050000,0.10567164
113295,-0.50750000,-0.10686567
113296,-0.51350000,-0.39820896
113297,-0.52050000,-0.52895522
113298,-0.52350000,-0.61074627
113299,-0.52900000,-0.48000000
113300,-0.53050000,-0.30029851
113301,-0.53300000,-0.13313433
113302,-0.53600000,-0.02149254
113303,-0.53750000,0.02029851
113304,-0.53900000,0.04656716
113305,-0.54050000,0.06626866
113306,-0.54150000,0.06925373
113307,-0.54300000,0.07582090
113308,-0.54450000,0.07940299
113309,-0.54600000,0.08238806
113310,-0.54750000,0.08597015
113311,-0.54750000,0.07940299
113312,-0.54900000,0.07940299
113313,-0.55050000,0.08597015
113314,-0.55050000,0.08238806
113315,-0.54750000,0.09910448
113316,-0.54600000,0.11223881
113317,-0.54300000,0.10567164
113318,-0.53600000,0.12179104
113319,-0.52450000,0.12537313
113320,-0.50900000,0.13492537
113321,-0.48500000,0.13194030
113322,-0.45200000,0.14507463
113323,-0.41100000,0.14507463
113324,-0.36400000,0.16477612
113325,-0.30700000,0.17791045
113326,-0.24300000,0.18447761
113327,-0.17500000,0.17432836
113328,-0.10500000,0.18089552
113329,-0.03400000,0.17432836
113330,0.03850000,0.16477612
113331,0.10800000,0.14507463
113332,0.17200000,0.13194030
113333,0.23300000,0.09910448
113334,0.28700000,0.07283582
113335,0.33550000,0.06268657
113336,0.37700000,0.04000000
113337,0.41400000,0.02985075
113338,0.44200000,0.01014925
113339,0.46650000,0.00417910
113340,0.48350000,0.00119403
113341,0.49200000,0.00119403
113342,0.49600000,0.00119403
113343,0.49600000,0.00119403
113344,0.48650000,0.00119403
113345,0.47200000,0.00119403
113346,0.45200000,0.00119403
113347,0.42500000,0.00119403
113348,0.39650000,-0.00835821
113349,0.36100000,-0.01194030
113350,0.32300000,-0.01850746
113351,0.28300000,-0.01194030
113352,0.24150000,-0.01194030
113353,0.19750000,-0.02149254
113354,0.15500000,-0.03164179
113355,0.11350000,-0.02507463
113356,0.07400000,-0.02507463
113357,0.03700000,-0.01850746
